fp_cost_assumption,threshold,false_positives,false_negatives,fp_cost,fn_cost,total_cost
100,0.1,1247,0,124700,0.0,124700.0
100,0.15,1247,0,124700,0.0,124700.0
100,0.2,1247,0,124700,0.0,124700.0
100,0.25,1247,0,124700,0.0,124700.0
100,0.3,1244,3,124400,1066.2,125466.2
100,0.35,1226,13,122600,4402.19,127002.19
100,0.4,1186,40,118600,14993.919999999998,133593.91999999998
100,0.45,1104,89,110400,32280.21,142680.21
100,0.5,990,190,99000,71280.94,170280.94
100,0.55,856,344,85600,124540.56,210140.56
100,0.6,712,567,71200,203996.34000000003,275196.34
100,0.65,551,856,55100,307172.32999999996,362272.32999999996
100,0.7,379,1157,37900,410287.61,448187.61
100,0.75,230,1520,23000,532803.95,555803.95
100,0.8,115,1880,11500,657442.65,668942.65
100,0.85,51,2147,5100,749603.8900000001,754703.8900000001
100,0.9,23,2411,2300,837772.1799999999,840072.1799999999
250,0.1,1247,0,311750,0.0,311750.0
250,0.15,1247,0,311750,0.0,311750.0
250,0.2,1247,0,311750,0.0,311750.0
250,0.25,1247,0,311750,0.0,311750.0
250,0.3,1244,3,311000,1066.2,312066.2
250,0.35,1226,13,306500,4402.19,310902.19
250,0.4,1186,40,296500,14993.919999999998,311493.92
250,0.45,1104,89,276000,32280.21,308280.21
250,0.5,990,190,247500,71280.94,318780.94
250,0.55,856,344,214000,124540.56,338540.56
250,0.6,712,567,178000,203996.34000000003,381996.34
250,0.65,551,856,137750,307172.32999999996,444922.32999999996
250,0.7,379,1157,94750,410287.61,505037.61
250,0.75,230,1520,57500,532803.95,590303.95
250,0.8,115,1880,28750,657442.65,686192.65
250,0.85,51,2147,12750,749603.8900000001,762353.8900000001
250,0.9,23,2411,5750,837772.1799999999,843522.1799999999
500,0.1,1247,0,623500,0.0,623500.0
500,0.15,1247,0,623500,0.0,623500.0
500,0.2,1247,0,623500,0.0,623500.0
500,0.25,1247,0,623500,0.0,623500.0
500,0.3,1244,3,622000,1066.2,623066.2
500,0.35,1226,13,613000,4402.19,617402.19
500,0.4,1186,40,593000,14993.919999999998,607993.92
500,0.45,1104,89,552000,32280.21,584280.21
500,0.5,990,190,495000,71280.94,566280.94
500,0.55,856,344,428000,124540.56,552540.56
500,0.6,712,567,356000,203996.34000000003,559996.3400000001
500,0.65,551,856,275500,307172.32999999996,582672.33
500,0.7,379,1157,189500,410287.61,599787.61
500,0.75,230,1520,115000,532803.95,647803.95
500,0.8,115,1880,57500,657442.65,714942.65
500,0.85,51,2147,25500,749603.8900000001,775103.8900000001
500,0.9,23,2411,11500,837772.1799999999,849272.1799999999
750,0.1,1247,0,935250,0.0,935250.0
750,0.15,1247,0,935250,0.0,935250.0
750,0.2,1247,0,935250,0.0,935250.0
750,0.25,1247,0,935250,0.0,935250.0
750,0.3,1244,3,933000,1066.2,934066.2
750,0.35,1226,13,919500,4402.19,923902.19
750,0.4,1186,40,889500,14993.919999999998,904493.92
750,0.45,1104,89,828000,32280.21,860280.21
750,0.5,990,190,742500,71280.94,813780.94
750,0.55,856,344,642000,124540.56,766540.56
750,0.6,712,567,534000,203996.34000000003,737996.3400000001
750,0.65,551,856,413250,307172.32999999996,720422.33
750,0.7,379,1157,284250,410287.61,694537.61
750,0.75,230,1520,172500,532803.95,705303.95
750,0.8,115,1880,86250,657442.65,743692.65
750,0.85,51,2147,38250,749603.8900000001,787853.8900000001
750,0.9,23,2411,17250,837772.1799999999,855022.1799999999
1000,0.1,1247,0,1247000,0.0,1247000.0
1000,0.15,1247,0,1247000,0.0,1247000.0
1000,0.2,1247,0,1247000,0.0,1247000.0
1000,0.25,1247,0,1247000,0.0,1247000.0
1000,0.3,1244,3,1244000,1066.2,1245066.2
1000,0.35,1226,13,1226000,4402.19,1230402.19
1000,0.4,1186,40,1186000,14993.919999999998,1200993.92
1000,0.45,1104,89,1104000,32280.21,1136280.21
1000,0.5,990,190,990000,71280.94,1061280.94
1000,0.55,856,344,856000,124540.56,980540.56
1000,0.6,712,567,712000,203996.34000000003,915996.3400000001
1000,0.65,551,856,551000,307172.32999999996,858172.33
1000,0.7,379,1157,379000,410287.61,789287.61
1000,0.75,230,1520,230000,532803.95,762803.95
1000,0.8,115,1880,115000,657442.65,772442.65
1000,0.85,51,2147,51000,749603.8900000001,800603.8900000001
1000,0.9,23,2411,23000,837772.1799999999,860772.1799999999
