order_amount,product_category,discount_percentage,customer_order_count,customer_return_count,customer_return_rate,previous_refunds,delivery_days,product_rating,quantity,payment_method,customer_tenure_days,estimated_return_cost,is_returned
2690.2,Electronics,30.9,37,2,0.054,2,9,3.8,5,Net Banking,383,153.59,1
1618.72,Books,11.4,16,2,0.125,1,4,3.3,4,UPI,1421,278.99,1
3035.56,Sports,42.8,28,5,0.179,2,1,2.8,4,Credit Card,185,407.21,1
6114.53,Sports,55.0,20,2,0.1,2,3,4.1,5,UPI,362,408.96,1
1499.19,Beauty,46.7,14,0,0.0,0,7,4.5,1,Net Banking,349,420.72,0
1499.21,Electronics,22.3,45,2,0.044,2,5,2.7,2,UPI,1817,270.24,0
6395.63,Electronics,9.8,29,2,0.069,2,3,2.7,1,Credit Card,774,315.38,1
3340.74,Sports,55.6,46,6,0.13,3,9,4.2,3,UPI,1972,358.75,1
1241.93,Fashion,22.7,37,2,0.054,2,6,3.7,3,UPI,1564,313.12,1
2790.7,Fashion,1.5,19,3,0.158,1,8,3.6,2,COD,1199,373.19,0
1247.96,Home,40.0,17,8,0.471,1,6,2.4,4,Credit Card,644,245.44,1
1245.65,Fashion,17.3,1,1,1.0,1,4,3.8,2,COD,1136,296.67,1
2194.19,Beauty,58.9,29,3,0.103,3,8,2.4,2,COD,1769,244.21,1
391.26,Home,10.0,29,2,0.069,2,1,4.5,2,UPI,217,169.56,0
454.89,Beauty,30.4,24,0,0.0,0,10,3.1,3,UPI,1061,223.38,1
1153.05,Sports,17.7,19,3,0.158,0,2,3.3,2,Credit Card,1513,263.37,1
804.11,Electronics,48.3,43,5,0.116,1,7,2.9,3,COD,863,245.16,1
2324.82,Fashion,38.4,10,3,0.3,1,7,3.3,3,COD,1478,236.09,0
874.44,Fashion,55.4,36,2,0.056,2,1,2.4,1,Net Banking,69,242.36,1
584.15,Books,32.1,17,1,0.059,1,3,2.1,4,Credit Card,495,278.34,1
5840.19,Fashion,0.3,17,6,0.353,3,5,2.1,2,UPI,458,523.98,1
1509.27,Fashion,15.1,32,6,0.188,2,10,2.0,4,Net Banking,1535,317.68,1
1908.4,Beauty,69.9,16,6,0.375,1,10,4.5,4,COD,1834,190.63,1
578.36,Fashion,28.4,46,3,0.065,2,4,3.6,4,COD,75,278.99,1
1169.69,Books,43.4,23,2,0.087,2,5,4.1,4,UPI,1272,275.76,1
1975.82,Books,63.3,16,1,0.062,1,9,3.8,4,UPI,641,406.74,1
719.97,Home,1.4,32,1,0.031,1,8,4.2,3,UPI,153,301.48,1
2441.97,Beauty,46.2,2,2,1.0,1,10,3.2,3,Credit Card,282,354.2,1
1118.22,Electronics,20.2,40,4,0.1,0,1,2.2,3,UPI,1270,235.13,0
1431.74,Beauty,19.5,6,2,0.333,1,9,2.5,4,Net Banking,688,235.96,1
1117.26,Beauty,15.7,10,5,0.5,1,8,3.9,2,Debit Card,274,239.42,1
7957.12,Fashion,57.6,34,5,0.147,4,3,2.4,4,UPI,621,446.21,1
1788.62,Fashion,26.1,30,3,0.1,1,9,3.2,2,UPI,561,267.84,0
775.75,Books,4.7,36,2,0.056,2,9,2.7,1,Credit Card,691,236.83,1
3491.32,Fashion,6.8,6,4,0.667,4,6,2.8,4,Credit Card,860,425.19,0
680.84,Beauty,10.4,45,3,0.067,1,6,4.7,2,COD,946,314.9,0
2136.86,Electronics,62.9,33,1,0.03,1,5,5.0,4,Debit Card,1129,282.71,0
377.01,Fashion,29.9,5,4,0.8,2,6,2.6,2,UPI,925,311.97,0
624.81,Sports,64.1,28,1,0.036,1,9,2.9,1,Credit Card,1112,261.24,1
2116.44,Fashion,57.2,7,0,0.0,0,1,3.3,2,COD,150,283.82,0
3264.21,Home,58.7,46,1,0.022,1,7,2.8,3,Credit Card,1710,352.42,1
2073.71,Fashion,20.1,19,2,0.105,2,2,3.8,3,UPI,1633,284.2,0
1648.27,Fashion,19.0,43,4,0.093,0,5,3.9,3,Net Banking,73,228.07,0
1421.0,Books,39.2,50,3,0.06,2,3,4.2,5,Credit Card,266,228.0,0
554.01,Home,29.3,50,1,0.02,0,4,2.0,4,Debit Card,1339,149.18,1
1016.5,Books,35.6,26,5,0.192,2,8,3.1,4,Debit Card,1715,360.18,1
1250.74,Books,3.7,38,3,0.079,1,8,2.1,3,Credit Card,918,389.07,1
4212.02,Books,68.0,38,2,0.053,2,5,3.7,2,Credit Card,568,538.64,1
2380.09,Books,4.1,39,2,0.051,1,9,2.6,1,COD,1953,329.25,0
441.23,Electronics,12.5,17,4,0.235,2,2,4.4,4,Debit Card,987,287.16,1
2343.19,Books,47.5,19,5,0.263,3,1,3.4,4,Credit Card,1621,196.13,0
1328.67,Electronics,10.9,27,7,0.259,3,2,2.6,2,Credit Card,1855,221.17,0
1052.01,Electronics,7.5,37,6,0.162,4,5,2.2,4,Credit Card,863,214.06,1
2949.35,Electronics,10.8,7,5,0.714,1,1,3.2,5,UPI,1527,413.63,0
4124.91,Fashion,4.3,38,0,0.0,0,5,3.1,5,COD,387,256.06,1
3808.63,Home,17.6,17,3,0.176,3,2,3.6,3,COD,918,285.23,1
923.92,Fashion,19.0,29,3,0.103,1,8,2.7,4,COD,1158,281.76,1
1411.81,Electronics,34.9,44,6,0.136,4,3,3.0,1,Net Banking,331,375.6,1
2356.68,Home,30.7,39,2,0.051,2,2,3.4,1,UPI,986,431.63,0
3945.91,Fashion,33.2,44,2,0.045,2,8,2.8,3,Debit Card,1909,495.96,0
1232.33,Sports,43.1,17,2,0.118,2,8,4.1,3,COD,1599,304.73,1
1558.49,Fashion,16.2,15,5,0.333,2,4,3.7,4,Credit Card,700,330.58,0
746.15,Fashion,9.4,16,5,0.312,1,6,4.8,4,UPI,866,265.84,1
694.39,Fashion,61.5,33,4,0.121,1,7,2.7,5,Credit Card,448,176.38,1
3463.45,Fashion,44.4,11,5,0.455,3,4,3.7,4,UPI,1554,313.14,0
5350.75,Home,4.2,33,6,0.182,3,2,4.2,2,UPI,1085,297.89,1
1706.83,Home,67.3,32,4,0.125,0,7,3.4,4,Debit Card,1242,361.2,0
4035.26,Fashion,48.5,45,3,0.067,1,4,4.9,3,UPI,761,380.43,1
2414.65,Fashion,10.6,28,0,0.0,0,3,3.3,3,Credit Card,385,273.47,0
1079.12,Fashion,67.8,20,4,0.2,1,2,2.7,5,UPI,1479,333.62,0
2414.18,Books,25.6,49,4,0.082,1,7,3.4,3,Credit Card,1029,379.65,0
6188.38,Fashion,68.9,29,1,0.034,0,7,3.4,5,COD,872,607.28,1
1756.96,Sports,7.2,16,5,0.312,4,7,4.5,5,Credit Card,1845,281.38,1
6321.52,Beauty,11.2,30,2,0.067,2,5,4.4,3,Debit Card,1117,466.86,0
222.34,Electronics,46.0,17,2,0.118,2,2,4.0,1,UPI,555,214.88,1
3489.53,Books,1.6,14,1,0.071,1,5,2.7,1,UPI,132,397.2,0
1938.44,Sports,1.3,24,4,0.167,0,10,4.8,1,UPI,1609,290.1,1
1423.39,Beauty,55.4,37,0,0.0,0,3,2.2,2,UPI,1508,413.12,1
1945.76,Fashion,11.7,13,4,0.308,3,8,3.0,1,Credit Card,848,349.54,1
368.69,Home,64.3,18,3,0.167,1,5,3.4,2,Credit Card,1656,192.64,1
1516.65,Fashion,29.8,7,5,0.714,2,10,3.4,1,COD,1160,399.56,1
2405.93,Electronics,61.2,49,3,0.061,3,3,5.0,4,UPI,1188,259.31,1
5897.69,Sports,29.2,11,3,0.273,1,1,4.2,4,Credit Card,1100,412.65,0
1194.38,Books,37.1,17,2,0.118,2,5,4.3,5,Credit Card,1085,163.36,1
946.91,Electronics,22.2,19,2,0.105,2,1,3.6,1,UPI,1734,233.47,0
1210.26,Sports,46.1,6,2,0.333,2,5,3.2,2,Credit Card,1764,405.85,1
3760.55,Beauty,22.3,18,0,0.0,0,9,4.9,3,Credit Card,923,443.41,1
2351.95,Electronics,15.6,10,3,0.3,3,10,2.1,4,Credit Card,568,378.78,1
1183.45,Fashion,5.7,1,1,1.0,1,8,3.8,2,Net Banking,517,319.19,1
2726.06,Fashion,4.0,1,1,1.0,1,2,2.5,1,UPI,1713,317.42,1
1954.06,Sports,21.4,47,5,0.106,1,2,2.7,5,Debit Card,204,316.52,0
3924.19,Sports,51.6,38,2,0.053,2,4,4.8,3,Debit Card,216,389.16,1
1031.08,Electronics,14.4,27,1,0.037,1,6,4.9,5,Net Banking,845,403.1,0
1391.13,Home,20.9,25,1,0.04,1,6,4.9,1,Credit Card,123,273.2,0
1321.22,Sports,63.4,26,1,0.038,1,5,2.2,2,Net Banking,1773,321.77,1
560.7,Sports,44.7,39,2,0.051,2,4,4.6,3,Net Banking,1556,216.62,1
2291.35,Electronics,64.4,10,5,0.5,3,5,4.1,5,UPI,1028,442.62,1
